"","lat","long"
"1",19.08348,-155.54211
"2",18.91619,-155.68817
"3",19.0593900000001,-155.93665
"4",19.33888,-155.90806
"5",19.70294,-156.07347
"6",19.81422,-156.02368
"7",19.97729,-155.85008
"8",20.17395,-155.91907
"9",20.26721,-155.86108
"10",20.2487,-155.78505
"11",20.07975,-155.40214
"12",19.99302,-155.22452
"13",19.8591,-155.06226
"14",19.50871,-154.80741
"15",19.45328,-154.83147
"16",19.23972,-155.22217
"17",19.08348,-155.54211
"18",20.64397,-156.07926
"19",20.57241,-156.41445
"20",20.783,-156.58673
"21",20.8643,-156.70167
"22",20.9267600000001,-156.71055
"23",21.01249,-156.61258
"24",20.9174500000001,-156.25711
"25",20.76404,-155.99566
"26",20.64397,-156.07926
"27",21.1768400000001,-156.75824
"28",21.06873,-156.78933
"29",21.09777,-157.32521
"30",21.21958,-157.25027
"31",21.1768400000001,-156.75824
"32",21.32217,-157.65283
"33",21.26442,-157.70703
"34",21.27729,-157.7786
"35",21.31244,-158.12667
"36",21.53919,-158.2538
"37",21.57912,-158.29265
"38",21.71696,-158.0252
"39",21.65272,-157.94161
"40",21.32217,-157.65283
"41",21.982,-159.34512
"42",21.88299,-159.46372
"43",22.06533,-159.80051
"44",22.1382,-159.74877
"45",22.23618,-159.5962
"46",22.21494,-159.36569
"47",21.982,-159.34512
"48",49.38905,-94.81758
"49",48.8400000000001,-94.6399999999999
"50",48.6707400000001,-94.32914
"51",48.60926,-93.63087
"52",48.45,-92.61
"53",48.14,-91.6399999999999
"54",48.27,-90.8299999999999
"55",48.0100000000001,-89.6
"56",48.0198082545828,-89.2729174466367
"57",48.3029175888938,-88.3781141832865
"58",47.9400000000001,-87.4397926233002
"59",47.553338019392,-86.4619908312281
"60",47.2202188177305,-85.6523632474032
"61",46.9000833196824,-84.8760798815149
"62",46.6371019557491,-84.7792382473998
"63",46.5386841904492,-84.5437487454457
"64",46.4396,-84.6049000000001
"65",46.4087700000001,-84.3367
"66",46.5122258571157,-84.1421195136733
"67",46.2754186061383,-84.0918512641615
"68",46.1169269882992,-83.8907653470057
"69",46.1169269882992,-83.6161309475905
"70",45.9946863877126,-83.4695507473946
"71",45.8168936224126,-83.5928507148431
"72",45.3475165879055,-82.5509246487582
"73",44.4400000000001,-82.3377631254311
"74",43.57108755144,-82.137642381504
"75",42.9800000000001,-82.4299999999999
"76",42.4300000000001,-82.8999999999999
"77",42.0800000000001,-83.1199999999999
"78",41.975681057293,-83.1419996813126
"79",41.832795722006,-83.0298101468069
"80",41.6751050888673,-82.6900892809202
"81",41.6751050888673,-82.4392777167916
"82",42.2090259873069,-81.2777465481671
"83",42.3661998561227,-80.2474476793479
"84",42.8636113551481,-78.9393621487437
"85",42.965,-78.9199999999999
"86",43.27,-79.0099999999999
"87",43.4663394231843,-79.1716735501119
"88",43.625089423185,-78.7202799140424
"89",43.6290555893634,-77.7378850979576
"90",43.6287842880938,-76.8200341458056
"91",44.0184588937586,-76.5
"92",44.09631,-76.3749999999999
"93",44.8164500000002,-75.3182099999999
"94",45.0004800000001,-74.867
"95",45.0073800000001,-73.3478299999999
"96",45.0082000000001,-71.5050599999999
"97",45.2550000000001,-71.4049999999999
"98",45.3052400000002,-71.08482
"99",45.46,-70.6599999999998
"100",45.915,-70.3049999999999
"101",46.69307,-69.9999699999999
"102",47.4477810000001,-69.237216
"103",47.1850000000001,-68.905
"104",47.35486,-68.23444
"105",47.0663600000001,-67.79046
"106",45.7028100000001,-67.79134
"107",45.13753,-67.13741
"108",44.8097000000002,-66.96466
"109",44.3252,-68.0325199999999
"110",43.9800000000001,-69.0599999999999
"111",43.6840500000002,-70.1161699999999
"112",43.090238348964,-70.645475633411
"113",42.8653,-70.8148899999999
"114",42.335,-70.825
"115",41.805,-70.4949999999999
"116",41.7800000000001,-70.08
"117",42.1450000000001,-70.185
"118",41.9228300000001,-69.8849699999999
"119",41.6371700000002,-69.9650299999999
"120",41.4750000000001,-70.64
"121",41.4944500000002,-71.12039
"122",41.3200000000001,-71.8599999999998
"123",41.27,-72.295
"124",41.2206500000001,-72.87643
"125",40.9311023516545,-73.71
"126",41.1194800000002,-72.2412599999999
"127",40.9300000000001,-71.9449999999998
"128",40.6300000000001,-73.3449999999999
"129",40.628,-73.982
"130",40.75075,-73.9523249999999
"131",40.4735100000001,-74.25671
"132",40.42763,-73.9624399999999
"133",39.70926,-74.17838
"134",38.9395400000001,-74.9060399999999
"135",39.1964000000001,-74.9804099999999
"136",39.2484500000001,-75.2000199999999
"137",39.4985000000001,-75.52805
"138",38.9600000000001,-75.32
"139",38.7820322301793,-75.0718347647898
"140",38.4041200000001,-75.0567299999999
"141",38.0155100000001,-75.3774699999999
"142",37.2168900000001,-75.94023
"143",37.2566,-76.0312699999999
"144",37.9370500000001,-75.7220499999998
"145",38.319215,-76.2328699999999
"146",39.15,-76.3500000000001
"147",38.7176150000001,-76.5427249999999
"148",38.0832600000001,-76.32933
"149",38.2399917669134,-76.9899979316135
"150",37.917945,-76.3016199999999
"151",36.9664000000001,-76.25874
"152",36.89726,-75.9717999999999
"153",36.55125,-75.8680399999998
"154",35.5507400000001,-75.72749
"155",34.8085400000001,-76.36318
"156",34.51201,-77.3976349999999
"157",33.92547,-78.05496
"158",33.8613300000001,-78.5543499999998
"159",33.49395,-79.06067
"160",33.1583900000001,-79.20357
"161",32.5093550000001,-80.3013249999999
"162",32.0333000000001,-80.8649799999999
"163",31.44049,-81.33629
"164",30.7299900000001,-81.49042
"165",30.0355200000001,-81.31371
